Questions,Answers
i have no idea. i've been here for 20 years.,do you have any other skills?
do you have any other skills?,"well, i know how to flip hamburgers."
"well, i know how to flip hamburgers.",no one would hire you to flip hamburgers.
no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
have you heard something that you're not telling me?,what do you mean?
what do you mean?,are there going to be layoffs at this place?
are there going to be layoffs at this place?,i certainly hope not!
i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too."
"if you got laid off, you'd be flipping hamburgers, too.","oh great, we could both work at burger king."
"oh great, we could both work at burger king.","maybe we'd get laid off there, too."
do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best."
"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.
i tell my students to become a teacher.,teaching is a great job.
teaching is a great job.,it's the best job i've ever had.
it's the best job i've ever had.,what makes it so good?
what makes it so good?,"for me, it's the students."
"for me, it's the students.",what do you mean?
what do you mean?,i mean i have wonderful students.
i mean i have wonderful students.,that must be nice.
that must be nice.,teaching is the best part of my whole day.
teaching is the best part of my whole day.,you're a lucky man to have a job you love.
"boy, i'm glad that job is finished.",how long did it take?
how long did it take?,"four hours, without a break."
"four hours, without a break.",it's always nice to finish a job.
it's always nice to finish a job.,"well, it's good and bad."
"well, it's good and bad.",what's bad about it?
what's bad about it?,"when you finish, all you do is start another job!"
"when you finish, all you do is start another job!","yes, that's right. it does get boring."
"yes, that's right. it does get boring.","especially if it's the same work, over and over."
"especially if it's the same work, over and over.",but that's what most people do.
but that's what most people do.,"yes, i guess most of us are stuck in a routine."
"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.
i think i have the worst boss in the world.,what makes him so bad?
what makes him so bad?,he's rude and he yells a lot.
he's rude and he yells a lot.,that's hard to take.
that's hard to take.,i've never heard him say please or thank you.
i've never heard him say please or thank you.,he sounds like a real jerk.
he sounds like a real jerk.,no one at work likes him.
no one at work likes him.,can't you report him to his supervisor?
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers."
"yes, they don't like troublemakers or complainers.","i can't quit, because i'm making a good salary."
"i can't quit, because i'm making a good salary.",you shouldn't choose money over happiness.
what are we going to do?,about what?
about what?,about finding a job for me.
about finding a job for me.,you don't need a job. i make enough money for both of us.
you don't need a job. i make enough money for both of us.,that doesn't matter. i don't want to sit around.
that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?"
"okay, what kind of job do you want?",i'm not sure.
i'm not sure.,"well, you should do something that you enjoy."
"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.
i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.
cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
a new hotel is looking for workers.,"yes, i saw it on the tv news."
"yes, i saw it on the tv news.",they need 300 new workers.
they need 300 new workers.,"and 4,000 people showed up."
"and 4,000 people showed up.",so many people are out of work.
so many people are out of work.,"i still have my job, thank goodness."
"i still have my job, thank goodness.","so do i, but i'm worried."
"so do i, but i'm worried.",me too. there are no guarantees.
me too. there are no guarantees.,"if you lose your job, you can move in with me."
"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you."
"oh, thank you. that's very nice of you.",you would do the same for me.
you would do the same for me.,of course. what are friends for?
i think i did something real stupid.,what did you do?
what did you do?,i bought some stock.
i bought some stock.,everybody buys stock.
everybody buys stock.,i bought it on a hunch.
i bought it on a hunch.,you didn't read about the company first?
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
i didn't have to. it's been in business for 60 years.,so what's the problem?
so what's the problem?,i used all my savings on this one company.
i used all my savings on this one company.,you put all your eggs into one basket.
you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing."
"if the company goes out of business, i'll have nothing.","oh, you'll have something????€?you'll have a lesson you'll never forget!"
i was going to be a doctor.,what happened to your plans?
what happened to your plans?,i got a d in college chemistry.
i got a d in college chemistry.,"well, a d is better than an f."
"well, a d is better than an f.",a tutor helped me get the d!
a tutor helped me get the d!,"so, you didn't become a doctor."
"so, you didn't become a doctor.",and now i'm glad that i didn't.
and now i'm glad that i didn't.,why's that?
why's that?,a hospital is the most dangerous place in the world.
a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs."
"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals."
"if you're a smart doctor, you stay away from hospitals.","yes, the smart doctors are those tv news doctors????€?no hospitals, no patients."
i want to be a mail carrier when i grow up.,why?
why?,because you get to meet a lot of people.
because you get to meet a lot of people.,you sure do.
you sure do.,and you get a lot of exercise every day.
and you get a lot of exercise every day.,that's the truth.
that's the truth.,and you get to play with a lot of dogs.
and you get to play with a lot of dogs.,"well, you're supposed to be working."
"well, you're supposed to be working.","yes, but i will always pet the friendly dogs."
"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?
what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you."
"i think if you are friendly to dogs, they are friendly to you.",dogs are like people????€?not all of them are friendly.
i want to move to new york.,to the state or the city?
to the state or the city?,"to the city, of course."
"to the city, of course.",why do you want to move there?
why do you want to move there?,because i want to make a lot of money.
because i want to make a lot of money.,there are a lot of poor people in new york.
there are a lot of poor people in new york.,there sure are????€?at least a million.
there sure are????€?at least a million.,so how do you plan to become rich?
so how do you plan to become rich?,i will knock on the doors of all the corporations.
i will knock on the doors of all the corporations.,that won't make you rich. nobody will talk to you.
that won't make you rich. nobody will talk to you.,i will keep knocking on doors.
i will keep knocking on doors.,all you will get is sore knuckles.
i love salads.,me too.
me too.,i usually eat a simple salad.
i usually eat a simple salad.,what do you put in it?
what do you put in it?,"just lettuce, tomato, and celery."
"just lettuce, tomato, and celery.",that's it?
that's it?,i add some pepper and salt.
i add some pepper and salt.,i always put cheese in my salads.
i always put cheese in my salads.,"yes, cheese is nice."
"yes, cheese is nice.",what kind of dressing do you use?
what kind of dressing do you use?,i pour lots of french dressing on top.
i pour lots of french dressing on top.,me too. french dressing is so delicious! who cares about calories?
i love cheese.,me too.
me too.,where does cheese come from?
where does cheese come from?,it comes from cows.
it comes from cows.,"so we get cheese from cows, and we get milk, too?"
"so we get cheese from cows, and we get milk, too?","yes, we do."
"yes, we do.",what else do we get from cows?
what else do we get from cows?,we get hamburgers and steak.
we get hamburgers and steak.,"oh, that's so delicious."
"oh, that's so delicious.",we also get leather.
we also get leather.,"we get a lot of things from cows, don't we?"
"we get a lot of things from cows, don't we?",yes. a cow is man's best friend.
i used to work in a deli.,how did you like it?
how did you like it?,i loved it!
i loved it!,did you get free food?
did you get free food?,i ate free cheese and meat every day.
i ate free cheese and meat every day.,that sounds like a great job.
that sounds like a great job.,"whatever a customer ordered, i sliced off a little more for me."
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
did you get fat?,"no, but i did put on a few pounds."
"no, but i did put on a few pounds.",that sounds like a dream job.
that sounds like a dream job.,"it was, until one day my manager caught me."
"it was, until one day my manager caught me.","no more free cheese for you, huh?"
i'm on a new diet.,what are you eating now?
what are you eating now?,i switched from pasta to potatoes.
i switched from pasta to potatoes.,why did you do that?
why did you do that?,pasta is processed food. potatoes are natural food.
pasta is processed food. potatoes are natural food.,natural food has more vitamins.
natural food has more vitamins.,and it's just as easy to prepare.
and it's just as easy to prepare.,how do you prepare the potatoes?
how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
"i wash them, and then steam them for 15 minutes.",that's pretty simple.
that's pretty simple.,"then i add butter, salt, and pepper."
"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
my girlfriend's mom got mad at me at the dinner table.,why was that?
why was that?,i sprinkled salt and pepper on the food before i tasted it.
i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
what's the matter with that?,her mom is a great cook.
her mom is a great cook.,"so, a little salt and pepper never hurt anything."
"so, a little salt and pepper never hurt anything.",it hurt her feelings.
it hurt her feelings.,oh.
oh.,"i apologized to her, but i could tell she was still upset."
"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.
maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.
i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.
i eat the same thing every day.,you're kidding.
you're kidding.,"no, i'm serious."
"no, i'm serious.",doesn't that get old?
doesn't that get old?,"no, because i'm eating food that i like."
"no, because i'm eating food that i like.",but the same thing day after day gets old.
but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different."
"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?
do you eat fruits and vegetables every day?,"no, i hate vegetables."
"no, i hate vegetables.",but you eat fruits.
but you eat fruits.,"i eat two apples, one banana, and one orange every day."
"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
there's something wrong with my orange.,what's wrong?
what's wrong?,it's not orange!
it's not orange!,your orange isn't orange?
your orange isn't orange?,"no, it's dark pink!"
"no, it's dark pink!",are you sure? i never heard of such a thing.
are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
what is this world coming to?,who knows? maybe soon we'll have pink bananas.
i love peanuts.,"me, too. i love them roasted and salted."
"me, too. i love them roasted and salted.",i love boiled peanuts.
i love boiled peanuts.,boiled? i never heard of that.
boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
i'll have to try them sometime.,they're best when they're hot.
they're best when they're hot.,my brother is allergic to peanuts.
my brother is allergic to peanuts.,that's not good.
that's not good.,"no, it isn't. he almost died when he was little."
"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
i guess he has to be very careful about what he eats.,he has a very strict diet.
i'm gaining weight.,how much have you gained?
how much have you gained?,three pounds just this month.
three pounds just this month.,do you know why?
do you know why?,i think it's the ice cream.
i think it's the ice cream.,you started eating ice cream?
you started eating ice cream?,it was on sale.
it was on sale.,how much did you buy?
how much did you buy?,i filled up my freezer with ice cream.
i filled up my freezer with ice cream.,"well, it won't last forever."
"well, it won't last forever.","no, i figure i'll finish it all by next week."
"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
i'm stuffed.,of course you are. you ate everything on the table.
of course you are. you ate everything on the table.,i don't like to eat leftovers.
i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
i like my food hot and fresh.,you like to see it disappear.
you like to see it disappear.,i don't like it reheated.
i don't like it reheated.,"well, you'll have hot fresh food tomorrow night."
"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
i'm so full i'm going to burst.,you should loosen your belt.
you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please."
i saw what you did.,i didn't do anything.
i didn't do anything.,"oh yes, you did."
"oh yes, you did.",what are you talking about?
what are you talking about?,you know what i'm talking about.
you know what i'm talking about.,i don't have any idea.
i don't have any idea.,you know what you did.
you know what you did.,"maybe i know, but how could you know?"
"maybe i know, but how could you know?",because i was watching you.
because i was watching you.,"okay, i'm sorry i did it."
"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!
don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
i like that shirt.,so do i.
so do i.,how much is it?
how much is it?,i don't know. the tag is missing.
i don't know. the tag is missing.,ask the clerk.
ask the clerk.,i will.
i will.,"oh, look. here's another shirt just like it."
"oh, look. here's another shirt just like it.",does it have a price tag?
does it have a price tag?,"yes, it does. it's only $20."
"yes, it does. it's only $20.",that's a great price.
that's a great price.,i think i'll buy both of them.
i think i'll buy both of them.,you'd better try them on first.
i bought you a pair of pants.,thank you.
thank you.,i hope they fit.
i hope they fit.,i hope you kept the receipt.
i hope you kept the receipt.,you think they won't fit?
you think they won't fit?,i think i've put on some weight.
i think i've put on some weight.,you think?
you think?,maybe a pound or two.
maybe a pound or two.,maybe four or five pounds?
maybe four or five pounds?,my waist is bigger than it was.
my waist is bigger than it was.,no problem. these pants have an elastic waistband.
no problem. these pants have an elastic waistband.,you are so smart!
what do we need to buy?,let me look at our list.
let me look at our list.,i know that we need milk.
i know that we need milk.,nonfat.
nonfat.,of course. what else?
of course. what else?,"we need cheese, bread, and ham."
"we need cheese, bread, and ham.",what kind of cheese?
what kind of cheese?,swiss.
swiss.,"of course, the cheese with holes in it."
"of course, the cheese with holes in it.",i never used to buy swiss cheese.
i never used to buy swiss cheese.,why not?
why not?,i didn't want to pay for the holes.
i need some pants.,i thought you just bought a pair.
i thought you just bought a pair.,i did.
i did.,what's wrong with them so soon?
what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it."
"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.
but that's what pockets are for.,you should carry them in a purse.
you should carry them in a purse.,"i'm a man, and men don't carry purses!"
"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
i would if i could find someone who makes strong pockets.,try a google search online.
what are those wipes for?,you use them to wipe the handle of the shopping cart.
you use them to wipe the handle of the shopping cart.,that's a great idea.
that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
i'm going to take five wipes.,what do you need five of them for?
what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
what's the matter with the produce?,do you think the bananas fell from the sky?
do you think the bananas fell from the sky?,what do you mean?
what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with."
did you go to the 99 cents store?,"yes, i did."
"yes, i did.",what did you buy?
what did you buy?,"well, i got a lot of good deals, as usual."
"well, i got a lot of good deals, as usual.",like what?
like what?,"well, a dozen large eggs were only 99 cents."
"well, a dozen large eggs were only 99 cents.",that's a good deal.
that's a good deal.,and a one-pound tub of soft butter was the same price.
and a one-pound tub of soft butter was the same price.,another good deal.
another good deal.,but the best deal was five pounds of potatoes for 99 cents.
but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
i don't know how that store makes money.,"neither do i, but they're doing something right."
i need a new computer.,what's the matter with yours?
what's the matter with yours?,it's six years old.
it's six years old.,that's pretty old.
that's pretty old.,"it still works, but i'm going to give it to a charity."
"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
are you going to buy a desktop or laptop?,"oh, a laptop, of course."
"oh, a laptop, of course.",a pc or a mac?
a pc or a mac?,i haven't decided yet.
i haven't decided yet.,more and more people are using macs.
more and more people are using macs.,but 90 percent of the world uses pcs.
but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
i got ripped off.,what happened?
what happened?,"i had a car problem, so i went online."
"i had a car problem, so i went online.",did you find a solution?
did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
what are you going to do?,i sent them an email asking for my money back.
i sent them an email asking for my money back.,have you heard from them?
have you heard from them?,not yet. it's been a week.
not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
where's the pencil sharpener?,which one?
which one?,any one. i need to sharpen this pencil.
any one. i need to sharpen this pencil.,i think there's one on the dining room table.
i think there's one on the dining room table.,i already looked there.
i already looked there.,did you look in the desk drawer?
did you look in the desk drawer?,"yes, i looked there, too."
"yes, i looked there, too.",don't we have about five sharpeners?
don't we have about five sharpeners?,"yes, but they seem to have legs."
"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
i'm trying to stretch my dollars.,how are you doing that?
how are you doing that?,i started shopping at the dollar store.
i started shopping at the dollar store.,that saves a lot of money.
that saves a lot of money.,i bought three pounds of potatoes for a dollar.
i bought three pounds of potatoes for a dollar.,that's a good deal.
that's a good deal.,"yes, even though some of the potatoes had eyes."
"yes, even though some of the potatoes had eyes.",just put them in the fridge.
just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
why did you do that?,i mixed them together.
i mixed them together.,"if the coffee still tastes okay, that's a good idea."
i really like this house.,can we afford it?
can we afford it?,they want 20 percent down.
they want 20 percent down.,that's a lot of money.
that's a lot of money.,but the house is so nice.
but the house is so nice.,it's in a great neighborhood.
it's in a great neighborhood.,it's close to the beach.
it's close to the beach.,it's close to the freeways.
it's close to the freeways.,it's got a big yard.
it's got a big yard.,"the kids love the house, too."
"the kids love the house, too.","if we don't buy it, someone else will."
"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
we can't afford this house.,are you sure?
are you sure?,"we will be house rich, but cash poor."
"we will be house rich, but cash poor.",what do you mean?
what do you mean?,our monthly payments will be too high.
our monthly payments will be too high.,we won't have any money for other things?
we won't have any money for other things?,"no, we won't have money for gas or food."
"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
we'll be eating peanut butter sandwiches?,without the peanut butter!
without the peanut butter!,that's no good!
that's no good!,we have to find a cheaper house.
we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
that is a beautiful house.,i don't like it.
i don't like it.,what's the matter with it?
what's the matter with it?,it's on the corner.
it's on the corner.,so?
so?,that means it gets twice as much traffic.
that means it gets twice as much traffic.,you're right.
you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
i hate looking for an apartment.,"me, too."
"me, too.",we have a 2 o'clock appointment to see the one on main street.
we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
we'd better get ready to go.,it's an upstairs unit.
it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
that's great. we won't have neighbors on both sides of us.,no pets are allowed.
no pets are allowed.,perfect. we don't have to listen to barking dogs.
perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
did you call the manager?,yes. he said he'd come over tomorrow.
yes. he said he'd come over tomorrow.,did he say what time?
did he say what time?,yes. he said he'd be here at 9 o'clock.
yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
did he understand what the problem is?,yes. i told him our doorbell doesn't work.
yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
it shouldn't take him long to fix it.,i don't even know why we need to fix it.
i don't even know why we need to fix it.,in case we have visitors.
in case we have visitors.,but they can just knock on the door.
but they can just knock on the door.,"actually, i want him to look at our carpet, too."
"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
do you like this house?,"yes, it's beautiful."
"yes, it's beautiful.",it's perfect for us and the kids.
it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
and we can afford it!,so are we going to buy it?
so are we going to buy it?,i'm afraid not.
i'm afraid not.,"it's too far from your job, isn't it?"
"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
i won't be able to play with the kids.,"no, we have to find something closer to your job."
"boy, it's chilly outside, isn't it?",it sure is.
it sure is.,"in fact, it's chilly in the apartment, too."
"in fact, it's chilly in the apartment, too.",let's turn on the heat.
let's turn on the heat.,i'll check to make sure that all the windows are shut.
i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
it should be warmer in a few minutes.,it's so nice to have a heated apartment.
it's so nice to have a heated apartment.,how did they survive in the old days?
how did they survive in the old days?,they had fireplaces.
they had fireplaces.,someone had to chop the wood.
someone had to chop the wood.,and carry it into the house.
and carry it into the house.,all we have to do is flip a switch.
this is a nice neighborhood.,the streets are clean and quiet.
the streets are clean and quiet.,the neighbors don't party on the weekends.
the neighbors don't party on the weekends.,people take care of their lawns.
people take care of their lawns.,no rusty old cars are sitting in the front yards.
no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
we never have to call the police about anything.,our kids are completely safe.
our kids are completely safe.,so why are we selling our house?
so why are we selling our house?,they're building a 3-story apartment building on the corner.
they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
that was a huge fire in santa barbara.,"yes, it was."
"yes, it was.",they said about 30 houses burned to the ground.
they said about 30 houses burned to the ground.,and they were expensive houses.
and they were expensive houses.,i feel so sorry for those people.
i feel so sorry for those people.,why feel sorry for rich people?
why feel sorry for rich people?,i feel sorry for anyone who loses their home.
i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
"so do i, but not if they're rich.",what does that have to do with it?
what does that have to do with it?,rich people think they're better than us.
rich people think they're better than us.,how many rich people do you know?
how many rich people do you know?,none.
bears are invading our neighborhoods.,of course they are. they're starving to death.
of course they are. they're starving to death.,they should stay in the woods where they belong.
they should stay in the woods where they belong.,there's no food in the woods.
there's no food in the woods.,can't they eat grass?
can't they eat grass?,do you think a bear is a cow?
do you think a bear is a cow?,"well, i've seen them eating berries."
"well, i've seen them eating berries.",berries aren't in season all year round.
berries aren't in season all year round.,it's too dangerous for kids and pets.
it's too dangerous for kids and pets.,people need to cover their trash cans.
people need to cover their trash cans.,the police need to shoot all the bears.
the police need to shoot all the bears.,you don't solve a problem by shooting it.
who did you vote for?,i voted for obama.
i voted for obama.,me too.
me too.,he will be a great president.
he will be a great president.,everyone likes him.
everyone likes him.,he's a good speaker.
he's a good speaker.,and he's really smart.
and he's really smart.,he will solve our problems.
he will solve our problems.,he will end the war.
he will end the war.,the next four years will be good years.
the next four years will be good years.,"i'll vote for him next time, too."
"i'll vote for him next time, too.",i think everyone will.
the election is next week.,who are you voting for?
who are you voting for?,i'm not voting for the mayor.
i'm not voting for the mayor.,why not?
why not?,he made promises that he didn't keep.
he made promises that he didn't keep.,like what?
like what?,"he promised to hire 1,000 more police officers."
"he promised to hire 1,000 more police officers.",how many did he hire?
how many did he hire?,one hundred!
one hundred!,maybe he had a good reason.
maybe he had a good reason.,maybe he's just a liar.
maybe he's just a liar.,"maybe i'll vote for someone else, too."
i can't believe he won the election.,only 15 percent of the voters turned out.
only 15 percent of the voters turned out.,that is a joke.
that is a joke.,"voting is so important, but people don't bother."
"voting is so important, but people don't bother.",many people think their vote doesn't matter.
many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
all you have to do is vote and put a stamp on it.,how easy is that?
how easy is that?,i guess people just don't care.
i guess people just don't care.,they'll care when they see their taxes go up.
"well, we have a new president.",but we have the same old problems.
but we have the same old problems.,"well, he's made a few changes."
"well, he's made a few changes.",like what?
like what?,i think he closed the bowling alley in the white house.
i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
"oh, yeah. he's changing it to a basketball court.",who's paying for that?
who's paying for that?,i think we are!
i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
do any other world leaders have a basketball court?,they will. you know america always leads the way.
people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
obama's got four years to make everyone happy.,he's never going to make everyone happy.
he's never going to make everyone happy.,can you imagine being president?
can you imagine being president?,everyone wants you to solve their problems.
everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
i have enough stress from trying to solve my own problems.,you and everybody else.
you and everybody else.,i would never want to be president.
i would never want to be president.,but think about all the power you'd have.
but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
did you read this article?,what article?
what article?,it says the mayor spends only 11 percent of his time on city duties.
it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
only 11 percent?,about 50 percent of the time he's traveling.
about 50 percent of the time he's traveling.,where does he travel to?
where does he travel to?,"oh, all over the world."
"oh, all over the world.",but he's supposed to be making our city a better place.
but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
he's visiting other cities to get ideas.,can't he just go online?
can't he just go online?,the rest of the time he's raising money for his reelection.
the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
who did you vote for for president?,i voted for ralph nader.
i voted for ralph nader.,who in the world is ralph nader?
who in the world is ralph nader?,he's the best man for president.
he's the best man for president.,why's that?
why's that?,he hates corporations.
he hates corporations.,"well, most corporations do think only about money."
"well, most corporations do think only about money.",he hates democrats and republicans.
he hates democrats and republicans.,"well, they do put their party before their country."
"well, they do put their party before their country.",he's the only candidate that i trust.
he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
i don't know why i bother to vote.,why's that?
why's that?,what good does it do?
what good does it do?,you get to put someone in power that you like.
you get to put someone in power that you like.,only if my candidate wins.
only if my candidate wins.,"well, he can't win unless you and others vote for him."
"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
"and when elected, they go their own way.",they forget who put them in power.
they forget who put them in power.,they forget where they came from.
they forget where they came from.,maybe you should run for office.
that election for u.s. senator stunk.,what do you mean?
what do you mean?,there were more votes than voters!
there were more votes than voters!,but that's impossible.
but that's impossible.,officials said that it's possible.
officials said that it's possible.,did they explain how it's possible?
did they explain how it's possible?,no. they said there are some things you can't explain.
no. they said there are some things you can't explain.,so are they going to hold another election?
so are they going to hold another election?,no. that will cost too much money.
no. that will cost too much money.,so it's better to save money than to have an honest election?
so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
"well, the democratic party says it was an honest election.",of course they say that????€?their man won!
i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
